Location ID,Location Name,Location Region,Provider Name,Latest Rating,engagement_score,Publication Date,Specialisms/services,Local authority,Region,Caring,Effective,Overall,Responsive,Safe,Well-led,is_high_engagement
1-10000302982,Henley House,East of England,Greensleeves Homes Trust,Good,3.0,20/04/2022,Sensory impairments|Dementia|Caring for adults over 65 yrs|Physical disabilities,Suffolk,East,3.0,3.0,3.0,3.0,3.0,3.0,1
1-10000812939,Charlotte House,North West,Lovett Care Limited,Good,3.0,04/04/2023,Sensory impairments|Dementia|Caring for adults over 65 yrs|Physical disabilities,Wirral,North West,3.0,3.0,3.0,3.0,3.0,3.0,1
1-10000813008,Regency Care Centre,North West,Lovett Care Limited,Good,3.0,15/07/2021,Dementia|Caring for adults over 65 yrs|Physical disabilities,Bury,North West,3.0,3.0,3.0,3.0,3.0,3.0,1
1-1000210669,Kingswood House Nursing Home,South East,Innowood Limited,Good,3.0,04/09/2019,Caring for adults under 65 yrs|Mental health conditions,East Sussex,South East,3.0,3.0,2.0,3.0,2.0,2.0,1
1-1000401911,Little Haven,London,Elizabeth Peters Care Homes Limited,Good,3.0,11/04/2018,Mental health conditions,Lewisham,London,3.0,3.0,3.0,3.0,3.0,3.0,1
1-10005690253,Rowan House,Yorkshire and The Humber,Milewood Healthcare Ltd,Good,3.0,13/07/2022,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,North Yorkshire,Yorkshire & Humberside,3.0,3.0,3.0,3.0,3.0,2.0,1
1-10005776421,Tresillian Residential Home,South West,Kerensa Care Limited,Good,3.0,27/09/2022,Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Cornwall,South West,3.0,3.0,3.0,3.0,3.0,3.0,1
1-1000587219,Highlands Borders Care Home,South West,Highlands Borders Care Home Limited,Good,3.0,06/05/2020,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Devon,South West,3.0,3.0,3.0,3.0,3.0,3.0,1
1-10016894058,Respite Breaks - Epwell rd.,West Midlands,Respite Breaks Limited,Good,3.0,26/04/2022,Sensory impairments|Caring for adults under 65 yrs|Learning disabilities,Birmingham,West Midlands,3.0,3.0,3.0,3.0,3.0,3.0,1
1-10017508735,Riverwell Beck Care Home,North West,Mariposa Care Group Limited,Good,3.0,26/05/2022,Dementia|Caring for adults over 65 yrs,Cumberland,North West,3.0,3.0,3.0,3.0,3.0,3.0,1
1-10023785774,Bromham House,East of England,Really Flexible Care Ltd,Good,3.0,21/10/2022,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions,Bedford,East,3.0,3.0,3.0,3.0,3.0,3.0,1
1-1004508435,Meadow Rose Nursing Home,West Midlands,MACC Care Limited,Good,3.0,04/10/2019,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Birmingham,West Midlands,3.0,2.0,2.0,3.0,2.0,2.0,1
1-1004589685,The Spinney Nursing Home,North West,Caring Spinney Limited,Requires improvement,2.0,14/05/2020,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Lancashire,North West,3.0,2.0,2.0,2.0,3.0,3.0,0
1-10046606585,Woodview Care Home,West Midlands,Bradwell Hall Nursing Home Limited,Good,3.0,13/05/2021,Sensory impairments|Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Substance misuse problems|Physical disabilities,Staffordshire,West Midlands,3.0,3.0,3.0,3.0,3.0,3.0,1
1-10048446564,Thornbury Villa,South West,Arterne Care Limited,Good,3.0,07/10/2022,Caring for adults over 65 yrs,Plymouth,South West,3.0,3.0,3.0,3.0,3.0,3.0,1
1-10048660596,Aston House,West Midlands,Aston House Care Ltd,Requires improvement,2.0,15/04/2026,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,"Herefordshire, County of",West Midlands,2.0,1.0,1.0,2.0,2.0,1.0,0
1-10052865046,Standon House,West Midlands,Standon Gardens Limited,Good,3.0,11/02/2022,Dementia|Caring for adults over 65 yrs,Staffordshire,West Midlands,3.0,2.0,2.0,3.0,2.0,2.0,1
1-10064549975,Connaught House,West Midlands,Restful Homes (Solihull) LTD,Good,3.0,27/01/2022,Sensory impairments|Dementia|Mental health conditions|Physical disabilities,Solihull,West Midlands,3.0,3.0,3.0,3.0,3.0,3.0,1
1-10065650875,The Rock Care Home,South West,The Rock Care Home Ltd,Good,3.0,17/06/2022,Sensory impairments|Dementia|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Devon,South West,3.0,3.0,3.0,3.0,3.0,3.0,1
1-10066275025,Homelands,South East,TNJ Care Ltd,Good,3.0,07/07/2022,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems,West Sussex,South East,3.0,3.0,3.0,3.0,3.0,3.0,1
1-10079446273,Lady of the Vale Care Home,North West,Sisters Of St Joseph Of The Apparition CIO,Requires improvement,2.0,17/05/2022,Dementia|Caring for adults over 65 yrs,Trafford,North West,3.0,3.0,3.0,2.0,3.0,3.0,0
1-10080687826,Ramsey Step Down and Care Centre,East of England,Care Solutions (East Anglia) Limited,Good,3.0,19/01/2023,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Essex,East,3.0,2.0,2.0,3.0,2.0,2.0,1
1-10086908874,The Rise Care Home,South West,Regency Care Limited,Good,3.0,17/05/2022,Sensory impairments|Dementia|Caring for adults over 65 yrs|Physical disabilities,Devon,South West,3.0,3.0,3.0,3.0,3.0,3.0,1
